00035501-n	gla:lemma	sàr-euchd	DS
00035501-n	gla:gloss	euchd a nochdas teòmachd mhòr	DS
00035611-n	gla:lemma	cliù	DS
00035611-n	gla:gloss	nuair a thathar a' moladh euchd	DS
00035611-n	gla:example	choisinn e cliù dha fhèin	DS
00035611-n	gla:lemma	creideas	EOMW
00035611-n	gla:gloss	nuair a thathar a' moladh euchd	DS
00035611-n	gla:example	choisinn e cliù dha fhèin	DS
00035807-n	gla:lemma	gnìomh	EOMW
00035807-n	gla:gloss	NO_GLOSS	EOMW
00035807-n	gla:example	is e gnìomh a dhearbhas	DS
00036532-n	gla:lemma	res gestae	DS
00036532-n	gla:gloss	na chaidh a dhèanamh	DS
00036619-n	gla:lemma	gnìomh	DS
00036619-n	gla:gloss	modh gus rud a dhèanamh	DS
00036930-n	gla:lemma	cùil-chaoch	DS
00036930-n	gla:gloss	gnìomh gun toradh nach toir feabhas	DS
00037220-n	gla:lemma	gnìomh-strì	DS
00037220-n	gla:gloss	gnìomh a dh'adhbharaicheas strì	DS
00037378-n	gla:lemma	Eadar-ghnìomh	DS
00037378-n	gla:gloss	gnìomh aontachail no malairteach	DS
00037568-n	gla:lemma	eadar-chluich	DS
00037568-n	gla:gloss	gnìomh is frith-ghnìomh malairteach	DS
00037654-n	gla:lemma	ceangal	DS
00037654-n	gla:gloss	eadar-ghnìomh dlùth	DS
00038273-n	gla:lemma	faigh	DS
00038273-n	gla:gloss	a' toirt rudeigin air ais	DS
00038509-n	gla:lemma	a-null is a-nall	DS
00038509-n	gla:gloss	eadar-ghnìomhach aontachail	DS
00039545-n	gla:lemma	cluich	DS
00039545-n	gla:gloss	a' gabhail pàirt ann an gèam no spòrs no cur-seachad eile	DS
00039825-n	gla:lemma	obair a' chlaidheimh	DS
00039825-n	gla:gloss	a' cleachdadh claidheimh gu brìoghmhar is gu h-ealanta	DS
00040097-n	gla:lemma	bòbhladh	DS
00040097-n	gla:gloss	a'cluich gèam mar tenpins no duckpins etc	DS
00044668-n	gla:lemma	cleas	EOMW
00044668-n	gla:gloss	NO_GLOSS	EOMW
00045430-n	gla:lemma	coileanadh	DS
00045430-n	gla:gloss	gnìomh aithnichte	DS
00046069-n	gla:lemma	clàr	DS
00046069-n	gla:gloss	suim nan euchdan aithnichte	DS
00046265-n	gla:lemma	gnìomh coileanta	DS
00046265-n	gla:gloss	euchd nach gabh a bhuil atharrachadh	DS
00046375-n	gla:lemma	dol air adhart	DS
00046375-n	gla:gloss	a' falbh a dh'ionnsaigh amais	DS
00046549-n	gla:lemma	coileanadh	DS
00046549-n	gla:gloss	coileanadh	DS
00046698-n	gla:lemma	ruigheachd	DS
00046698-n	gla:gloss	a' ruigsinn àite sònraichte	DS
00047327-n	gla:lemma	inntrig	DS
00047327-n	gla:gloss	a' tighinn a-steach	DS
00047854-n	gla:lemma	sgimilearachd	EOMW
00047854-n	gla:gloss	NO_GLOSS	EOMW
00048519-n	gla:lemma	nochdadh	DS
00048519-n	gla:gloss	a' tighinn an làthair a' phobaill	DS
00048519-n	gla:example	sin an Waverley a' nochdadh air fàire	DS
00049516-n	gla:lemma	tilleadh	DS
00049516-n	gla:gloss	tighinn air ais dhachaigh	DS
00049516-n	gla:example	na bi fada gun tilleadh!	DS
00050376-n	gla:lemma	acarsaid	DS
00050376-n	gla:gloss		EOMW
00050470-n	gla:lemma	ceangal suas	DS
00050470-n	gla:gloss	a' socrachadh soithich a' nochdadh	DS
00050658-n	gla:lemma	tighinn air tìr	DS
00050658-n	gla:gloss	a' cur air tìr an dèidh turas-cuain	DS
00050824-n	gla:lemma	tighinn ri làr	DS
00050824-n	gla:gloss	a' tilleadh ris an talamh	DS
00054175-n	gla:lemma	às-imrich	EOMW
00054175-n	gla:gloss	NO_GLOSS	EOMW
00054175-n	gla:lemma	eilthireachd	EOMW
00054175-n	gla:gloss	NO_GLOSS	EOMW
00054399-n	gla:lemma	imrich a-steach	EOMW
00054399-n	gla:gloss	NO_GLOSS	EOMW
00054399-n	gla:lemma	in-imrich	EOMW
00054399-n	gla:gloss	NO_GLOSS	EOMW
00055250-n	gla:lemma	fois	DS
00055250-n	gla:gloss	stad greiseag ann an sabaid	DS
00056851-n	gla:lemma	dol-às	EOMW
00056851-n	gla:gloss	NO_GLOSS	EOMW
00059122-n	gla:lemma	caol-teàrnadh	DS
00059122-n	gla:gloss	euchd air èiginn	DS
00060914-n	gla:lemma	buileachadh	DS
00060914-n	gla:gloss	amas air a choileanadh	DS
00060914-n	gla:lemma	ruigsinn	EOMW
00060914-n	gla:gloss	amas air a choileanadh	DS
00064267-n	gla:lemma	neo-thachartas	DS
00064267-n	gla:gloss	tachartas nach toir an t-amas aige gu buil	DS
00064687-n	gla:lemma	fàilligeadh	DS
00064687-n	gla:gloss	gnìomh leis nach do shoirbhich	DS
00064687-n	gla:lemma	fàilligeadh	EOMW
00064687-n	gla:gloss	gnìomh leis nach do shoirbhich	DS
00064952-n	gla:lemma	fàilligeadh	DS
00064952-n	gla:gloss	gun an gnothach a dhèanamh air rudeigin	DS
00065204-n	gla:lemma	sgrios	DS
00065204-n	gla:example	sgrios a bhith ort!	DS
00065305-n	gla:lemma	seachnadh-clas	DS
00065305-n	gla:gloss	à làthair bho chlas gun leisgeul	DS
00065448-n	gla:lemma	dearmad	DS
00065448-n	gla:gloss	call seach do nochd cuideigin	DS
00065559-n	gla:lemma	call	EOMW
00065559-n	gla:gloss	NO_GLOSS	EOMW
00065559-n	gla:example	nach mòr an call nach eil e an seo an-dràsta	DS
00065701-n	gla:lemma	gèilleadh	EOMW
00065701-n	gla:gloss	NO_GLOSS	EOMW
00065976-n	gla:lemma	bacadh	DS
00065976-n	gla:gloss	a' cur stad air amasan no oidhirpean cuideigin	DS
00066319-n	gla:lemma	dol bhuaithe	DS
00066319-n	gla:gloss	cùl-shleamhnachadh; a' dol air ais	DS
00066887-n	gla:lemma	briseadh	EOMW
00066887-n	gla:gloss	NO_GLOSS	EOMW
00068349-n	gla:lemma	aomadh	DS
00068349-n	gla:gloss	claonadh bho shuidheachadh dìreach	DS
00068627-n	gla:lemma	brosnachadh	DS
00068627-n	gla:gloss	piobrachadh	DS
00068627-n	gla:example	Urras Brosnachaidh na Gàidhlig	DS
00068933-n	gla:lemma	iomrall	EOMW
00068933-n	gla:gloss	NO_GLOSS	EOMW
00068933-n	gla:lemma	mearachd	EOMW
00068933-n	gla:gloss	NO_GLOSS	EOMW
00070036-n	gla:lemma	mearachd	DS
00070229-n	gla:lemma	smal	DS
00070229-n	gla:gloss	gnìomh a bheir mì-chreideas air an neach a rinn e	DS
00070229-n	gla:example	Nollaig gun smal dhut!	DS
00070441-n	gla:lemma	breisleach	DS
00070441-n	gla:example	chaidh mi nam bhreislich	DS
00070659-n	gla:lemma	ionnsaigh	DS
00070659-n	gla:example	thug an cù ionnsaigh air Màiri	DS
00070776-n	gla:lemma	mì-àireamh	DS
00070776-n	gla:gloss	mearachd ann an àireamh	DS
00071681-n	gla:lemma	fiaradh	DS
00071681-n	gla:gloss	gun an fhìrinn a riochdachadh	DS
00071796-n	gla:lemma	tapag	DS
00072492-n	gla:lemma	dearmad	DS
00072492-n	gla:gloss	mearachd le cion aire	DS
00072592-n	gla:lemma	dearmad	DS
00072592-n	gla:gloss	mearachd le dearmad	DS
00072758-n	gla:lemma	mearachd-mhòr	DS
00072758-n	gla:gloss	mearachd na masladh	DS
00073549-n	gla:lemma	bùrach	DS
00075350-n	gla:lemma	togail	EOMW
00075350-n	gla:gloss	NO_GLOSS	EOMW
00076895-n	gla:lemma	ceannach	EOMW
00076895-n	gla:gloss	NO_GLOSS	EOMW
00077275-n	gla:lemma	malairt	DS
00081137-n	gla:lemma	gabhail ris	DS
00081137-n	gla:gloss	a' gabhail ri rudeigin gun cheist	DS
00081137-n	gla:example	tha mi a' gabhail ris gum bi aig a' choinneimh feasgar	DS
00081325-n	gla:lemma	suidheachadh	DS
00085123-n	gla:lemma	tabhartas	DS
00085123-n	gla:gloss	toirt seachad subsadaidh	DS
00086727-n	gla:lemma	ceannsachadh	EOMW
00086727-n	gla:gloss	NO_GLOSS	EOMW
00087776-n	gla:lemma	dùnadh	DS
00091708-n	gla:lemma	saoradh	EOMW
00091708-n	gla:gloss	NO_GLOSS	EOMW
00092832-n	gla:lemma	saorsa	EOMW
00092832-n	gla:gloss	NO_GLOSS	EOMW
00093213-n	gla:lemma	saoradh	EOMW
00093213-n	gla:gloss	NO_GLOSS	EOMW
00095215-n	gla:lemma	dèanadas	DS
00095215-n	gla:gloss	a' toirt rudeigin gu buil	DS
00095616-n	gla:lemma	dèanadas sònraichte	DS
00095616-n	gla:gloss	cùmhnant laghail ann an gnìomh	DS
00095744-n	gla:lemma	meicnic	DS
00095744-n	gla:gloss	na feartan teicnigeach ceangailte ri gnìomh	DS
00095984-n	gla:lemma	seirbheis	EOMW
00095984-n	gla:gloss	NO_GLOSS	EOMW
00096798-n	gla:lemma	tuilleadh	EOMW
00096798-n	gla:gloss	NO_GLOSS	EOMW
00097158-n	gla:lemma	cleasachd	EOMW
00097158-n	gla:gloss	NO_GLOSS	EOMW
00097310-n	gla:lemma	cleas	EOMW
00097310-n	gla:gloss	NO_GLOSS	EOMW
00110144-n	gla:lemma	briogadh	EOMW
00110144-n	gla:gloss	NO_GLOSS	EOMW
00115294-n	gla:lemma	caogadh	EOMW
00115294-n	gla:gloss	NO_GLOSS	EOMW
00115294-n	gla:lemma	priobadh	EOMW
00115294-n	gla:gloss	NO_GLOSS	EOMW
00117681-n	gla:lemma	leum	EOMW
00117681-n	gla:gloss	NO_GLOSS	EOMW
00120140-n	gla:lemma	urchair	EOMW
00120140-n	gla:gloss	NO_GLOSS	EOMW
00121131-n	gla:lemma	smachd-teine	DS
